Total	X1	X2	M1	M2	S1	S2
273	50.1	1	5.522	0.4214	8.246978	5.4705628
275	50.7	1	4.874	0.4104	5.9070068	5.1478164
276	50.9	1	5.6352	0.4648	6.3411906	3.0451262
278	51.7	1	6.0032	0.431	9.7808698	4.6167176
279	55.1	1	5.8562	0.6666	6.811651	4.8740898
280	52.6	1	5.232	0.4106	5.6712456	4.073154
281	53.2	1	5.6718	0.4474	7.8219844	5.6460452
282	53.8	1	6.046	0.5266	4.5429648	4.7240782
283	53.6	1	7.4028	0.4214	9.2343208	5.3817744
285	54.8	1	6.0466	0.4224	5.3765024	3.882552
286	56.4	1	8.0034	0.482	5.4379672	4.0003708
287	54.9	1	6.4294	0.507	11.826226	4.9622746
288	55.5	1	6.5224	0.5504	5.5735962	3.5282054
290	56.6	1	5.2992	0.4592	6.7408016	5.5248318
291	57	1	6.334	0.4558	6.7248884	4.4804758
292	59.6	1	6.6796	0.4932	6.6888174	3.96962
293	57.3	1	6.5726	0.5006	7.2076238	4.4730906
294	58.1	1	7.1242	0.494	5.7427382	4.7209928
295	58.6	1	5.699	0.4282	6.6389668	4.9667352
297	59.8	1	6.3962	0.4672	8.6302348	5.0071952
299	59.9	1	6.5236	0.4394	6.2556398	5.9202432
300	60.5	1	6.2768	0.4166	7.2503332	4.8879084
301	61.8	1	7.019	0.5606	7.319358	5.5253752
302	61.2	1	6.2998	0.4638	7.564294	5.1679968
303	62.6	1	6.9802	0.5386	5.5723292	7.438633
304	61.9	1	6.1852	0.4932	7.829406	5.4455632
305	65.1	1	8.1786	0.5168	6.6183452	3.7835642
306	63.1	1	6.8408	0.4768	9.6803062	5.5280898
307	69.8	1	7.3328	0.5194	33.360324	28.6342552
308	63.7	1	7.5154	0.4528	7.7482172	5.91549
309	64.8	1	6.3338	0.4402	7.64417	4.771994
310	65.4	1	7.2252	0.518	6.6920204	4.368584
311	64.7	1	7.5864	0.5894	6.6239838	5.6544716
312	65.1	1	6.933	0.5624	7.6655618	5.2025924
313	66	1	7.6076	0.6018	8.7831588	5.7742496
315	66.3	1	7.3996	0.5444	9.0526738	4.7015858
316	69.3	1	8.525	0.5674	7.4296696	3.2614176
317	68.4	1	9.344	0.5008	7.5883302	4.1613588
318	68	1	7.232	0.4586	7.470522	4.708407
319	67.6	1	8.035	0.5512	6.829166	4.7020334
322	69	1	9.1644	0.5604	7.0464292	4.7914954
324	70.5	1	6.5866	0.4996	8.3189624	6.0208688
325	70.8	1	9.8136	0.5474	10.1715102	5.9509582
326	71.3	1	8.522	0.6142	9.183366	4.8403948
327	72.2	1	7.1862	0.4658	8.3053892	5.248972
328	79.4	1.4	8.6552	0.6104	32.2098574	24.5698328
329	72.7	1	9.983	0.5114	7.8241214	4.1085502
330	73	1	7.1142	0.4688	8.6604728	5.1881572
331	74.1	1	7.63	0.705	6.2007592	5.7572626
333	74.2	1	8.7428	0.5854	6.3361036	4.8681236
336	71	1	10.0628	0.5804	8.3489004	5.6932336
337	76.1	1	11.4792	0.6148	7.9850226	4.3090998
338	79.1	1	7.993	0.6266	8.3492534	6.6600448
339	76.9	1	7.428	0.4858	8.4604296	3.148297
340	79	1	9.298	0.5878	6.1292686	4.0295818
341	77.7	1	10.056	0.5618	8.1301144	4.5329672
342	82.2	1	7.6178	0.496	8.7916	4.8988456
343	78.9	1	8.0578	0.5222	8.3131356	6.0963176
344	79.2	1	9.3038	0.6294	10.1110254	5.0457216
345	80.4	1	9.2678	0.5876	6.3340332	5.6091704
346	80.2	1	9.2902	0.5864	10.9360452	6.344248
348	80.8	1	11.544	0.7054	8.0488338	5.0058728
350	82.1	1	10.2408	0.5638	10.5892618	5.5657816
351	82.4	1	8.896	0.536	8.1957554	6.2599628
352	82.8	1	9.3132	0.5452	7.2089916	5.22431
354	83.5	1	10.964	0.6032	10.466751	5.2215412
355	84.8	1	10.2544	0.5022	9.0565212	3.8878098
356	84.8	1	8.3698	0.5626	12.2743076	5.9902228
357	85.4	1	8.3742	0.5268	8.8412432	5.3837536
358	95.1	1.1	10.2046	0.6648	26.1695916	24.6376614
360	87	1	9.5652	0.6028	6.721535	5.1508626
362	87.8	1	11.1042	0.5234	9.913854	4.7315214
363	88.5	1	10.073	0.6844	7.5181742	4.6207108
364	82.4	1	8.961	0.5276	9.931218	5.5587872
365	89.3	1	12.886	0.8966	10.7362644	5.9220672
367	90.5	1	10.2002	0.5762	9.801385	6.8064702
368	91	1	9.4352	0.6084	10.002364	5.1995212
369	101	1.1	11.942	0.5944	30.4321508	25.8386946
370	95.8	1	9.735	0.5662	10.1771976	6.0599926
371	92.2	1	11.2204	0.5604	9.946534	5.378196
372	92.8	1.2	10.5132	0.7082	12.280525	4.1111742
374	93.7	1	11.768	0.6906	9.4057848	5.6943336
375	95	1.2	10.9974	0.548	7.407058	6.85737
376	94.8	1	10.61	0.6838	15.077823	5.7622408
377	96.3	1	9.6972	0.569	11.3802156	4.6608652
378	95.5	1	11.216	1.011	17.5493012	6.6545808
379	100.3	1	10.3894	0.6258	8.1146772	4.7971658
382	97.5	1	11.356	0.64	8.4912082	6.1576782
383	105.7	1	9.1934	0.55	10.6931196	5.6262132
384	100.1	1.1	9.6402	0.5682	8.7535736	6.6391688
385	99.3	1	14.43	0.8088	7.7664694	5.0725502
387	100.5	1	11.684	0.7244	11.001949	4.191844
388	105.4	1	13.898	0.5858	14.3588838	8.800301
389	112.6	1.1	14.688	0.6372	32.1430446	29.678584
390	102.6	1	11.988	0.6334	11.0363632	6.6417398
391	102.6	1	12.41	1.1016	7.2464586	5.5761378
392	103.1	1	10.49	0.7968	7.8276576	5.0259318
393	105	1	13.082	0.5956	8.0555546	4.6648776
395	104.9	1	11.77	0.7148	9.3123172	5.7585392
396	105.1	1	11.472	0.6542	11.1220254	5.8468452
397	105.6	1	13.052	0.5536	10.83546	6.1454786
398	106.4	1	11.732	0.5448	11.2358808	6.899482
399	106.9	1.2	12.368	0.618	15.2183218	8.1261428
400	107.6	1	12.096	0.6252	10.61918	6.6406434
402	110.1	1	13.08	0.7254	10.7787382	3.5620962
403	109.2	1	10.916	0.7586	6.0312602	8.0705184
404	111.7	1	14.958	0.7612	8.3391616	6.7993554
405	109.9	1	13.034	0.573	11.7392204	6.8325416
406	110.6	1	10.738	0.555	12.0160468	6.8591216
407	112.9	1	14.03	0.6222	8.5662674	5.4311834
408	111.3	1	12.632	0.7924	13.0032508	6.597953
409	112.6	1	16.622	0.6134	13.3580772	7.5948762
410	114	1	11.384	0.678	8.607669	4.4649234
411	113.9	1	13.776	0.6952	9.7741082	4.3365586
412	114.2	1	12.672	0.5478	11.6780344	5.8191696
413	114.8	1	10.682	0.6042	12.0642644	7.6529356
414	115.7	1	12.55	0.7228	9.6991618	4.5911348
416	115.7	1	12.7	0.6552	11.220255	6.7087578
418	117.8	1	12.826	0.7	8.8965922	8.3926124
419	118.5	1	15.338	0.699	20.521043	10.072588
420	117.9	1.3	14.358	1.0286	11.738605	9.1119136
423	120.5	1	14.908	0.7956	7.418297	4.1788434
424	120.7	1.2	13.852	0.5888	12.0171864	5.7836152
425	120.9	1	14.508	0.6458	10.1137634	4.8034416
426	126.5	1	14.712	0.7	13.6565092	6.5230006
427	122.4	1	13.288	0.6828	12.0314502	5.2036966
428	123.1	1	15.186	0.7224	9.4835914	5.057754
429	123.2	1	14.43	0.6376	10.551819	4.7789202
430	124.1	1	14.04	1.0732	11.1535184	5.9966328
432	125.3	1	11.82	0.7142	12.3747584	6.3366832
433	126.6	1	14.172	0.641	12.5209952	8.0049912
434	126.8	1	18.45	1.0322	6.9296172	5.5972074
435	127.3	1	11.084	0.5714	10.7024584	5.6830952
437	128.3	1	16.666	0.863	12.0285748	6.6384398
438	129.3	1	17.224	0.6628	11.1161644	5.3711466
440	129.1	1	15.542	0.686	9.9185372	5.5881758
441	130	1.1	16.946	0.6922	12.6030874	5.8662992
442	132.2	1	14.884	0.6238	12.4932602	5.1222336
444	132.3	1	17.29	0.706	9.8496248	7.2831354
445	133	1.1	16.53	0.9094	12.4268308	7.5399988
446	133.2	1	14.588	0.6742	9.9433096	4.9568486
448	133.9	1	14.58	0.6448	9.82852	6.5671252
449	135.9	1	12.884	0.7436	15.9471892	6.992348
450	135.8	1.3	15.686	0.9518	11.5346526	4.129381
451	136.4	1.3	15.92	1.0998	12.8338916	8.3467606
453	137.7	1	13.784	0.6456	11.2285844	8.4085032
455	138.1	1	15.224	0.6412	10.0331196	5.8668152
456	140.4	1.2	14.418	0.6288	11.766727	4.6072248
457	142.5	1.2	13.408	0.5994	15.5393408	6.88669
458	142.5	1.2	17.612	0.799	10.1310018	5.6209636
459	141.6	1	15.768	0.6838	12.5289696	6.9894012
460	141.4	1.2	15.064	0.871	8.0094268	5.5896902
461	143.1	1.2	18.374	0.7648	11.7108866	4.9683112
462	142.4	1.7	16.966	0.8276	13.348126	7.2426382
463	143.5	1	17.442	0.6858	10.1833484	5.5528222
464	145.5	1.2	13.588	0.6118	12.3493842	6.7403584
465	145.4	1.2	14.736	0.6542	11.229885	4.6634744
467	148.3	1	14.752	0.728	13.271028	5.4142396
468	147.5	1.4	23.222	0.6702	10.0169238	3.6959142
470	148.7	1.3	15.96	1.0444	8.3338622	5.4263198
471	148.7	1.9	15.76	0.7016	9.624958	5.016238
472	149.2	2	17.178	0.771	11.9220028	7.6813432
473	149.7	1.9	16.688	0.6862	10.2655816	161.057394
475	152	1.2	16.988	0.6268	13.5566312	4.0875566
476	154.2	1.1	13.908	1.6744	15.4027512	6.2164948
477	152.9	1.4	21.478	0.766	11.7604438	8.771645
478	154.1	1	14.304	0.6266	13.59512	6.1498252
480	155.2	1.7	16.526	1.0766	10.8581698	4.4551966
481	154.9	2	18.746	0.6784	11.1171088	5.7064398
483	156.3	2	18.696	0.997	8.123993	6.1415904
484	156.5	2	16.964	0.715	12.7570662	5.3742314
486	158.8	1.7	16.37	1.0046	18.9619968	6.7254054
487	161.8	1.9	22.588	0.8934	14.798109	7.3876776
490	160.8	2	17.496	1.195	12.2080354	6.748093
492	162.7	2	18.536	0.7164	11.09819	6.986688
493	163	1.6	14.912	0.65	14.1486628	5.0451676
494	164	2	18.81	0.7468	8.275061	4.557513
495	163.4	2	19.924	0.8894	11.6276966	109.485329
497	167.4	2	23.478	0.8102	15.6290596	7.3906464
498	167.1	1.8	17.602	0.9004	14.451696	8.307654
499	167.5	2	17.208	0.692	18.4277208	6.6582612
500	168.2	2	17.32	1.3756	16.6595284	7.7925604
501	168.7	1.9	14.986	0.6564	14.5415916	10.4537768
502	170.4	2	17.858	0.817	13.1993294	7.1542656
503	170.1	2	17.87	0.7502	13.6056096	5.6235052
504	170.4	2	21.584	0.832	18.5675754	32.1013966
505	170.7	2	17.974	0.8662	8.3745262	4.6297364
506	170.9	2	19.842	0.7802	17.9059228	4.5197178
507	173	2	18.086	0.7958	14.4303292	7.3569316
508	173.8	2	17.302	0.7194	16.2546332	5.0417376
510	174.7	2	17.506	0.79	16.4113028	8.3478544
512	178.9	2	20.058	0.7532	16.9249592	8.5919216
513	177	2	17.056	0.6944	18.345576	6.7301572
514	177.1	2	23.906	0.7788	17.5512074	7.1311978
516	177.8	2	22.976	0.8286	14.468636	6.7503546
517	178.3	2	21.532	1.0042	13.3543154	5.8431872
518	180.9	2	16.74	0.817	15.7940088	6.943646
520	182.4	2	19.166	0.9226	17.4882136	8.0041296
522	183.2	2	21.162	0.7556	15.7111076	11.576692
525	184.9	2	19.344	0.8466	13.9960458	8.370242
526	185.1	2	22.9	0.7936	13.7638354	7.1409198
527	186.5	2	18.758	0.702	14.1504234	8.3502938
528	187	2	20.788	0.94	12.4448008	6.3167044
529	189.4	2	22.116	1.0012	12.5467056	5.9278104
530	188.8	2	20.418	0.733	17.9456048	8.4305716
