Total	S3	S4	S5	S6	S8
223	3.1765376	13.9498704	2.2475226	4.8692294	11.2305158
224	3.5480764	9.082775	2.7356824	4.7271014	9.9708272
225	17.9194496	40.1009756	18.5453818	23.406164	38.7929258
228	2.8701596	9.320864	2.6769496	6.388272	53.5004924
229	3.561004	10.720322	2.8628528	5.548935	10.6175888
230	2.2548312	21.8664138	2.1787204	6.2723878	18.8046714
231	2.9164954	7.351405	2.2086136	4.5051524	108.9008782
232	2.954467	10.456235	2.3664392	5.8058376	13.8065274
233	2.9211522	11.2196472	2.7570364	6.2121516	10.7763612
234	4.155374	11.9921304	1.7764708	4.9109994	21.2713686
235	15.991814	45.179211	17.3980158	33.2141342	35.8266064
236	2.4217838	24.150566	1.9277462	5.0786466	14.0667692
237	3.5609376	22.4270548	3.287734	5.941293	22.6962574
238	2.4024736	8.56197	2.2496598	5.300095	20.9551328
240	2.516925	21.7855716	2.7264688	4.6382688	20.1468224
241	2.647912	19.0458858	1.8967286	5.5232044	66.1096496
242	3.3334956	9.9853826	2.3301354	4.4278318	59.5518994
243	3.4755878	9.8347442	2.3180534	6.0721564	12.4274428
245	2.5935332	11.6524096	3.0882254	5.2571652	10.1836124
246	2.6496356	9.6016566	2.2066818	3.9874784	9.0390132
247	3.0354272	12.9769292	1.9008786	4.3305268	21.5360656
250	3.1213092	24.6711136	2.754212	4.9065524	26.8515008
251	3.0969802	12.6481244	2.044687	5.5259758	13.3341834
252	2.617915	9.7251514	2.7336376	6.1591846	145.848606
253	2.7928792	21.6345624	2.530283	4.829328	52.6977216
255	2.8506652	17.3112068	2.8746756	6.0190252	17.2396424
256	18.8893112	39.4606118	20.0133244	21.6169466	245.1614784
257	2.5461696	13.284552	2.5993966	6.0706052	36.4934988
258	2.464694	30.4032068	2.659204	5.7149252	27.646976
260	4.1406602	13.9628968	2.9511248	6.9419318	12.414689
261	3.5558356	12.93314	2.622573	11.9822468	12.873098
262	4.3293328	14.5954424	2.9580746	5.4072474	13.5951184
264	2.7577662	12.3862644	2.4677156	5.0697438	27.3046546
265	3.3586896	21.2054152	3.4228978	4.4849526	22.4982784
266	18.8743916	44.492693	20.1502694	21.3043078	37.8172608
267	4.2355712	14.2502316	3.0715362	7.181543	14.1121588
268	3.1445146	12.1499112	2.3959946	5.5707602	10.7764278
269	3.02673	14.9963568	2.4793686	5.6861478	14.8610896
270	2.547738	13.0198682	2.1030624	4.849113	22.360257
273	4.2348928	24.7396656	3.166329	7.0732692	16.1115864
275	3.2561868	21.2206284	2.3534948	5.2695952	15.4424608
276	2.7690432	14.197813	2.19968	5.0958968	17.5287468
