Uniques	Duplicates	X1	M1	S1
230	28	45.5	7.3036	7.3844146
230	34	46.8	5.3776	6.368226
230	40	48.8	6.225	6.0768846
230	46	50.9	5.6352	6.3411906
230	5	40.8	5.1056	22.3622902
230	51	53.2	5.6718	7.8219844
230	57	54.9	6.4294	11.826226
230	63	57.3	6.5726	7.2076238
230	69	60.3	7.182	8.797474
230	74	63.2	6.8622	6.1420738
230	80	65.5	7.6322	8.0925924
230	86	69.3	8.525	7.4296696
230	92	69.7	7.7334	7.687576
230	97	72.2	7.1862	8.3053892
240	102	82.2	7.6178	8.7916
240	108	85.3	9.0722	9.4086664
240	114	88.3	9.4398	9.7401876
240	12	42.1	5.5956	7.1559824
240	120	91	8.5372	9.28615
240	18	43.9	5.9066	6.1386176
240	24	47.1	5.6256	9.2926344
240	30	49.9	6.9908	7.4223334
240	36	51.3	6.1374	5.6409504
240	42	53.8	6.046	4.5429648
240	48	55.5	6.5224	5.5735962
240	54	58.1	7.1242	5.7427382
240	6	45	4.896	26.1737992
240	60	60.6	7.3592	8.4206202
240	66	63.1	6.8408	9.6803062
240	72	65.1	6.933	7.6655618
240	78	68	7.232	7.470522
240	84	70.8	7.9668	7.9297692
240	90	74.8	7.9272	7.8935076
240	96	71	10.0628	8.3489004
250	100	82.4	9.371	9.3625168
250	106	84.8	8.3698	12.2743076
250	112	88.4	8.5944	9.5028276
250	118	91	9.4352	10.002364
250	12	47.5	6.4012	7.643401
250	125	99.2	12.1422	9.0191102
250	18	49.4	6.3068	5.4831686
250	25	52.6	6.7052	5.421494
250	31	55.3	6.0634	6.282616
250	37	57.3	7.6306	7.0791738
250	43	59.9	7.7024	6.5132372
250	50	63.5	6.902	7.144199
250	56	66	7.3826	8.398125
250	6	50.9	6.4582	23.586739
250	62	67.9	6.9646	10.513834
250	68	68.1	6.9184	6.3645238
250	75	70.9	8.5574	8.6710104
250	81	74.1	7.63	6.2007592
250	87	76.3	8.237	8.640274
250	93	78.9	8.0578	8.3131356
260	104	82.4	8.961	9.931218
260	110	95.8	9.735	10.1771976
260	117	99.9	10.178	10.4909892
260	123	105.7	9.1934	10.6931196
260	13	52.2	7.5962	8.6455782
260	130	107	11.763	10.4109756
260	19	55.1	5.8562	6.811651
260	26	56.4	8.0034	5.4379672
260	32	59.6	6.6796	6.6888174
260	39	62.2	7.105	5.6225756
260	45	65.1	8.1786	6.6183452
260	52	65.4	8.1564	8.2820544
260	58	68.2	8.146	8.3525892
260	6	54.2	7.146	28.8705858
260	65	72.8	7.7378	16.049355
260	71	78.9	7.8716	8.5034148
260	78	79.1	7.993	8.3492534
260	84	79.4	7.9372	6.4077896
260	91	82.4	8.896	8.1957554
260	97	85.4	8.3742	8.8412432
270	101	92.2	11.2204	9.946534
270	108	97.1	10.539	11.1033064
270	114	99.3	9.952	10.0301384
